ZG;Profundidade;Matéria Orgânica;CTC pH7 -cmolc/dm³;CTC Efetiva - cmolc/dm³;Ph - CaCl2;P -  Mehlich 1 - mg/dm³;Valor Relativo P% ;Enxofre - mg/dm³;Saturação Ca%;Saturação Mg%;Saturação K%;Ind. H+%;V% ;Boro  mg/dm³
1;00-20;27,6;12,95;7,84;4,93;4,18;70;51,63;43,55;11,2;5,79;39,46;60,54;0,1
2;00-20;35,61;14,4;9,83;4,78;4,18;70;48,85;51,18;12,43;4,65;31,74;68,26;0,76
3;00-20;33,75;12,48;7,7;4,86;5,58;82;34,35;46,87;12,66;2,16;38,3;61,69;0,35
4;00-20;27,89;11,58;7,3;4,97;6,79;100;33,36;47,41;13,13;2,5;36,96;63,04;0,59
5;00-20;29,46;12,68;8,37;4,82;6,12;89;31,18;49,61;13,88;2,52;33,99;66,01;0,38
6;00-20;37,18;13,32;9,29;4,99;7,15;95;11,52;52,03;12,24;5,48;30,26;69,75;0,59
7;00-20;30,17;13,47;8,9;5,04;6,36;94;25,22;48,48;12,18;5,42;33,93;66,08;0,28
8;00-20;32,32;13,43;9,15;5,02;5,45;86;58,98;51,75;13,1;3,28;31,87;68,13;0,35
9;00-20;34,32;13,47;8,58;5,16;5,88;89;37,13;48,03;12,1;3,56;36,3;63,69;0,45
10;00-20;33,32;12,95;7,91;4,42;10,18;154;56,59;45,95;12,82;2,32;38,92;61,09;0,17
11;00-20;31,6;13,23;9,76;4,91;6,97;110;23,23;58,88;13;1,89;26,23;73,77;0,42
12;00-20;28,17;12,54;8,07;5,06;14,24;208;44,48;51,04;11,32;1,99;35,65;64,35;0,49
13;00-20;26,88;11,96;6,11;4,62;12,18;200;71,29;38,29;9,87;2,59;48,91;50,75;0,1
14;00-20;35,46;13,15;8,54;5,15;5,33;84;50,24;50,27;12,09;2,59;35,06;64,95;0,87
15;00-20;31,32;12,94;8,5;4,98;8,97;137;23,83;50,46;11,44;3,79;34,31;65,69;0,69
16;00-20;28,31;12,98;8,41;5,05;15,7;220;26,21;48,07;13,56;3,16;35,21;64,79;0,55
17;00-20;30,46;11,67;6,36;4,9;6,61;104;33,56;41,9;9,17;3,43;45,5;54,5;0,76
18;00-20;38,9;12,61;7,79;4,78;11,33;169;45,67;46,07;11,82;3,89;38,22;61,78;0,28
19;00-20;35,04;14,13;9,38;4,83;4,06;69;36,93;49,82;13,45;3,11;33,62;66,38;0,59
20;00-20;38,47;11,8;7,19;4,82;8,73;148;45,87;45,42;12,12;3,39;39,07;60,93;0,49
1;20-40;26,6;13,6;8,96;5,19;3,15;56;27,8;49,49;12,43;3,97;34,12;65,89;0,55
2;20-40;25,45;12,98;8,57;4,89;3,15;55;37,53;49,08;13,33;3,62;33,98;66,03;0,45
3;20-40;22,88;10,36;6,59;5,01;3,64;57;48,85;48,55;13,42;1,64;36,39;63,61;0,35
4;20-40;21,45;10,38;6,69;5,09;5,45;83;36,54;45,76;16,38;2,31;35,55;64,45;0,59
5;20-40;19,16;12,32;8,41;5,18;3,58;64;48,65;50,49;16,31;1,46;31,74;68,26;0,35
6;20-40;26,17;12,96;9,25;5,1;6,18;96;23,23;53,78;12,81;4,78;28,63;71,37;0,24
7;20-40;26,6;10,54;6,74;4,93;4,85;74;7,94;48,77;12,43;2,75;36,05;63,95;0,76
8;20-40;22,02;11,91;7,73;5,06;4,61;79;62,75;49,45;12,76;2,69;35,1;64,9;0,49
9;20-40;24,6;13,13;8,66;4,95;5,27;88;36,74;50,04;13,71;2,21;34,04;65,96;0,42
10;20-40;23,6;14,69;10,6;5,44;1,88;34;32,37;56,02;13,41;2,72;27,84;72,15;0,38
11;20-40;24,17;11,39;7,51;5,03;5,7;87;34,55;51,71;11,85;2,37;34,06;65,93;0,28
12;20-40;23,45;12,48;7,77;5,2;4;64;54,81;49,6;11,46;1,2;37,74;62,26;0,1
13;20-40;18,59;11,11;6,58;4,6;2,36;39;124,7;42,39;14,04;1,17;40,77;57,6;0,14
14;20-40;21,31;12,38;7,97;5,18;2,67;47;45,47;48,71;14,14;1,53;35,62;64,38;0,69
15;20-40;23,31;11,63;7,54;5,05;3,03;54;38,72;49,87;12,9;2,06;35,17;64,83;0,38
16;20-40;20,59;12,23;8,05;5,22;5,51;96;43,49;50,29;13,65;1,88;34,18;65,82;0,62
17;20-40;29,17;10,85;6,14;4,77;4,79;78;52,82;45,81;8,2;2,58;43,41;56,59;0,38
18;20-40;21,45;10,76;6,39;4,97;7,7;137;7,35;46,1;10,97;2,32;40,61;59,39;0,76
19;20-40;31,89;13,98;9,34;4,91;2,61;45;36,93;48,5;16,02;2,29;33,19;66,81;0,55
20;20-40;26,6;12,06;7,78;4,91;5,45;90;58,78;47,26;15,09;2,16;35,49;64,51;0,21
