ZG;Profundidade;Cálcio cmolc/dm³;Magnésio cmolc/dm³;Potássio cmolc/dm³;V% (00-20cm);Al³ cmolc/dm³;pH CaCl²;Boro mg/dm³;M.O%;P-Mehlich 1 mg/dm³;P-resina mg/dm³
1;00-20;5,47;1,36;0,3;72,53;0;5,9;0,62;1,54;23,79;32
2;00-20;3,2;1,02;0,2;59,74;0;5,6;0,6;1,22;18,13;25
3;00-20;3,4;0,83;0,27;64,08;0;5,8;0,33;1,36;23,55;31
4;00-20;3,85;0,9;0,25;67,24;0;5,98;0,6;1,51;16,85;24
5;00-20;4;1,01;0,34;67,64;0;5,86;0,67;1,58;17,86;25
6;00-20;5,01;1,47;0,47;72,77;0;6,1;0,68;2,12;16,24;23
7;00-20;5,09;1,48;0,25;70,24;0;5,87;0,7;1,73;16,5;23
8;00-20;4,91;1,32;0,45;70,61;0;5,84;0,74;2,11;14,87;21
9;00-20;6,2;1,23;0,35;72,51;0;5,86;0,72;2,19;17,68;25
10;00-20;4,71;0,92;0,49;70,59;0;6;0,71;2,33;20,62;28
11;00-20;3,5;0,6;0,32;61,94;0;5,98;0,73;1,73;14,63;21
12;00-20;5,02;0,82;0,35;69,79;0;6,04;0,68;1,99;21,76;29
13;00-20;4,5;0,89;0,5;67,94;0;5,98;0,64;2,22;35,31;42
14;00-20;3,6;0,88;0,3;63,23;0;5,83;0,73;1,47;20,35;28
15;00-20;3,41;0,93;0,3;63,65;0;5,8;0,58;1,39;20,16;28
16;00-20;5,38;1,43;0,46;72,77;0;5,8;0,61;1,7;23,31;31
17;00-20;5,28;0,78;0,32;67,02;0;5,9;0,49;1,58;19,36;27
18;00-20;5,98;0,92;0,4;70,26;0;5,8;0,53;1,85;17,52;24
19;00-20;6,1;0,93;0,5;69,53;0;5,78;0,52;1,88;15,09;22
20;00-20;5,7;0,96;0,4;66,98;0;5,63;0,48;1,85;15,97;23
21;00-20;5,5;0,96;0,44;68,44;0;5,6;0,46;1,91;13,65;20
22;00-20;6,3;0,91;0,54;71,49;0;5,9;0,74;2,09;19,28;27
23;00-20;5,8;0,94;0,5;67,73;0;5,69;0,65;2,04;15,12;22
24;00-20;6;0,83;0,55;69,89;0;5,8;0,67;2;15,04;21
25;00-20;6,1;0,92;0,47;68,91;0;5,8;0,68;1,89;13,68;20
26;00-20;4,98;0,9;0,22;60,52;0;5,78;0,55;1,19;13,54;20
27;00-20;6,4;0,8;0,4;74,66;0;5,97;0,63;1,76;11,89;17
28;00-20;5,95;0,86;0,41;72,64;0;5,77;0,76;1,79;12,72;19
29;00-20;5,4;0,84;0,46;68,79;0;5,55;0,71;1,91;17,28;24
30;00-20;5,81;0,85;0,49;71,64;0;5,72;0,68;1,94;16,4;23
1;20-40;3,27;;;;0;;;;;
2;20-40;1,86;;;;0;;;;;
3;20-40;1,65;;;;0;;;;;
4;20-40;1,8;;;;0;;;;;
5;20-40;2,06;;;;0;;;;;
6;20-40;3,23;;;;0;;;;;
7;20-40;3,3;;;;0;;;;;
8;20-40;2,86;;;;0;;;;;
9;20-40;3,93;;;;0;;;;;
10;20-40;2,7;;;;0;;;;;
11;20-40;2,49;;;;0;;;;;
12;20-40;2,48;;;;0;;;;;
13;20-40;3,12;;;;0;;;;;
14;20-40;2,1;;;;0;;;;;
15;20-40;2,11;;;;0;;;;;
16;20-40;3,13;;;;0;;;;;
17;20-40;2,66;;;;0;;;;;
18;20-40;2,87;;;;0;;;;;
19;20-40;3,08;;;;0;;;;;
20;20-40;3,08;;;;0;;;;;
21;20-40;3,22;;;;0;;;;;
22;20-40;3;;;;0;;;;;
23;20-40;2,8;;;;0;;;;;
24;20-40;3;;;;0;;;;;
25;20-40;2,9;;;;0;;;;;
26;20-40;3,4;;;;0;;;;;
27;20-40;3,06;;;;0;;;;;
28;20-40;2,9;;;;0;;;;;
29;20-40;2,6;;;;0;;;;;
30;20-40;2,65;;;;0;;;;;
